Image,Total Pixels,Tumor Area,Tumor Ratio (%),Tumor Type
IMG000966.jpeg,2738960,78948.5,2.88,Benign (Lành tính)
IMG001116.jpeg,6394538,40436.0,0.63,Benign (Lành tính)
IMG000811.jpeg,411950,9230.0,2.24,Malignant (Ác tính)
IMG000486.jpeg,4132800,7284.5,0.18,Benign (Lành tính)
IMG000397.jpeg,678062,95055.0,14.02,Benign (Lành tính)
IMG001170.jpeg,3629536,2915.5,0.08,Benign (Lành tính)
IMG000120.jpeg,396090,4577.5,1.16,Malignant (Ác tính)
IMG001769.jpeg,1342464,6059.0,0.45,Benign (Lành tính)
IMG001658.jpeg,1089920,20909.5,1.92,Benign (Lành tính)
IMG000305.jpeg,3304032,1104.0,0.03,Benign (Lành tính)
IMG000122.jpeg,421872,4958.5,1.18,Malignant (Ác tính)
IMG001399.jpeg,466832,37926.0,8.12,Malignant (Ác tính)
IMG001429.jpeg,9458156,48030.0,0.51,Benign (Lành tính)
IMG000645.jpeg,6224696,41297.0,0.66,Benign (Lành tính)
IMG000631.jpeg,1768000,6778.5,0.38,Benign (Lành tính)
IMG001068.jpeg,2513472,2324.0,0.09,Benign (Lành tính)
IMG001666.jpeg,276452,11434.5,4.14,Benign (Lành tính)
IMG000597.jpeg,4672312,4268.5,0.09,Benign (Lành tính)
IMG000317.jpeg,7126560,47966.0,0.67,Benign (Lành tính)
IMG001669.jpeg,786432,2212.5,0.28,Benign (Lành tính)
IMG000761.jpeg,796016,880.0,0.11,Benign (Lành tính)
IMG000199.jpeg,436386,6646.5,1.52,Malignant (Ác tính)
IMG000512.jpeg,6945440,7690.5,0.11,Benign (Lành tính)
IMG001672.jpeg,224940,5471.5,2.43,Benign (Lành tính)
IMG001585.jpeg,801025,14686.5,1.83,Benign (Lành tính)
IMG000539.jpeg,5149830,9963.5,0.19,Benign (Lành tính)
IMG000800.jpeg,355524,2072.0,0.58,Benign (Lành tính)
IMG001054.jpeg,4660194,17402.5,0.37,Benign (Lành tính)
IMG001667.jpeg,119985,925.5,0.77,Benign (Lành tính)
IMG001578.jpeg,3540420,59051.0,1.67,Malignant (Ác tính)
IMG000499.jpeg,7774464,43523.0,0.56,Benign (Lành tính)
IMG001092.jpeg,2290000,142882.5,6.24,Benign (Lành tính)
IMG000032.jpeg,7774464,189070.5,2.43,Benign (Lành tính)
IMG000297.jpeg,769560,828.5,0.11,Benign (Lành tính)
IMG000167.jpeg,456400,19744.5,4.33,Malignant (Ác tính)
IMG000890.jpeg,3707830,2639.0,0.07,Benign (Lành tính)
IMG001315.jpeg,2547280,34778.0,1.37,Benign (Lành tính)
IMG001386.jpeg,1326533,57092.0,4.3,Benign (Lành tính)
IMG000278.jpeg,3415810,1201.0,0.04,Benign (Lành tính)
IMG001179.jpeg,4068288,1478.0,0.04,Benign (Lành tính)
IMG001038.jpeg,3707830,7461.5,0.2,Benign (Lành tính)
IMG000111.jpeg,490239,18581.0,3.79,Malignant (Ác tính)
IMG000715.jpeg,7774464,8189.0,0.11,Benign (Lành tính)
IMG000355.jpeg,5561856,14643.5,0.26,Benign (Lành tính)
IMG000213.jpeg,8916196,44220.5,0.5,Malignant (Ác tính)
IMG001403.jpeg,1657447,21681.5,1.31,Benign (Lành tính)
IMG000031.jpeg,7774464,135834.0,1.75,Benign (Lành tính)
IMG000502.jpeg,7774464,2727.0,0.04,Benign (Lành tính)
IMG000387.jpeg,3305652,449.5,0.01,Benign (Lành tính)
IMG000183.jpeg,350658,18354.5,5.23,Malignant (Ác tính)
IMG001419.jpeg,2560000,54012.0,2.11,Malignant (Ác tính)
IMG001066.jpeg,3013696,11278.0,0.37,Benign (Lành tính)
IMG000942.jpeg,1308960,24887.0,1.9,Benign (Lành tính)
IMG000365.jpeg,4969216,473.0,0.01,Benign (Lành tính)
IMG000370.jpeg,5080448,2219.5,0.04,Malignant (Ác tính)
IMG000114.jpeg,834736,9816.0,1.18,Malignant (Ác tính)
IMG000138.jpeg,440363,9944.0,2.26,Malignant (Ác tính)
IMG001700.jpeg,993600,29476.5,2.97,Malignant (Ác tính)
IMG000958.jpeg,8892324,6362.0,0.07,Benign (Lành tính)
IMG000351.jpeg,2927994,5909.0,0.2,Benign (Lành tính)
IMG000366.jpeg,3748415,400.5,0.01,Benign (Lành tính)
IMG001664.jpeg,1028400,50593.0,4.92,Benign (Lành tính)
IMG000196.jpeg,430776,4113.0,0.95,Malignant (Ác tính)
IMG001536.jpeg,2052266,51322.5,2.5,Benign (Lành tính)
IMG001373.jpeg,664576,51872.0,7.81,Malignant (Ác tính)
IMG001633.jpeg,1837784,21366.0,1.16,Benign (Lành tính)
IMG001036.jpeg,3701830,5464.0,0.15,Benign (Lành tính)
IMG001598.jpeg,877482,78114.0,8.9,Benign (Lành tính)
IMG001468.jpeg,2079583,26412.0,1.27,Benign (Lành tính)
IMG001004.jpeg,2337686,6181.0,0.26,Benign (Lành tính)
IMG000049.jpeg,517680,9067.5,1.75,Malignant (Ác tính)
IMG000109.jpeg,496496,6671.0,1.34,Malignant (Ác tính)
IMG000017.jpeg,6231184,286722.5,4.6,Malignant (Ác tính)
IMG001049.jpeg,3829248,6246.5,0.16,Benign (Lành tính)
IMG000687.jpeg,7322176,21876.5,0.3,Benign (Lành tính)
IMG001810.jpeg,877568,48424.0,5.52,Benign (Lành tính)
IMG001437.jpeg,4845420,616278.0,12.72,Benign (Lành tính)
IMG000579.jpeg,6101760,7807.5,0.13,Benign (Lành tính)
IMG001326.jpeg,3911530,4552.0,0.12,Benign (Lành tính)
IMG001786.jpeg,550108,520.0,0.09,Benign (Lành tính)
IMG001830.jpeg,1341440,6785.5,0.51,Benign (Lành tính)
IMG001814.jpeg,1028400,69569.0,6.76,Benign (Lành tính)
IMG000992.jpeg,3680194,12030.5,0.33,Benign (Lành tính)
IMG000508.jpeg,3847504,95024.0,2.47,Benign (Lành tính)
IMG001293.jpeg,2822214,1167.5,0.04,Benign (Lành tính)
IMG000132.jpeg,476311,37957.0,7.97,Malignant (Ác tính)
IMG000010.jpeg,4866640,131056.0,2.69,Malignant (Ác tính)
IMG000070.jpeg,410464,6250.5,1.52,Malignant (Ác tính)
IMG001470.jpeg,6563808,41712.5,0.64,Benign (Lành tính)
IMG000218.jpeg,3868280,159935.5,4.13,Malignant (Ác tính)
IMG000252.jpeg,4731060,11811.0,0.25,Benign (Lành tính)
IMG000749.jpeg,499902,974.5,0.19,Benign (Lành tính)
IMG001505.jpeg,272413,30979.5,11.37,Malignant (Ác tính)
IMG001712.jpeg,424800,63847.5,15.03,Benign (Lành tính)
IMG000440.jpeg,2998800,1313.5,0.04,Benign (Lành tính)
IMG000742.jpeg,529851,7564.0,1.43,Benign (Lành tính)
IMG000181.jpeg,479562,12988.5,2.71,Malignant (Ác tính)
IMG001718.jpeg,1333500,122508.5,9.19,Benign (Lành tính)
IMG001325.jpeg,3911530,5174.5,0.13,Benign (Lành tính)
IMG000228.jpeg,5437050,32844.5,0.6,Malignant (Ác tính)
IMG001475.jpeg,2560000,132884.5,5.19,Malignant (Ác tính)
IMG001503.jpeg,4845420,43336.5,0.89,Benign (Lành tính)
IMG000655.jpeg,7774464,188312.0,2.42,Benign (Lành tính)
IMG000180.jpeg,414491,10131.0,2.44,Malignant (Ác tính)
IMG001158.jpeg,4594056,23721.0,0.52,Benign (Lành tính)
IMG001631.jpeg,1402551,51333.0,3.66,Malignant (Ác tính)
IMG001006.jpeg,3166152,3771.5,0.12,Benign (Lành tính)
IMG001673.jpeg,652112,12029.0,1.84,Malignant (Ác tính)
IMG000312.jpeg,3781662,2647.5,0.07,Benign (Lành tính)
IMG001612.jpeg,136799,2726.0,1.99,Benign (Lành tính)
IMG001575.jpeg,7546880,163913.0,2.17,Malignant (Ác tính)
IMG001635.jpeg,5598772,62079.5,1.11,Benign (Lành tính)
IMG000558.jpeg,7774464,216.5,0.0,Benign (Lành tính)
IMG000989.jpeg,5299204,5141.0,0.1,Benign (Lành tính)
IMG001352.jpeg,780288,14210.0,1.82,Malignant (Ác tính)
IMG001208.jpeg,2111472,142580.5,6.75,Benign (Lành tính)
IMG000359.jpeg,6201720,426.0,0.01,Benign (Lành tính)
IMG001506.jpeg,159360,2938.0,1.84,Benign (Lành tính)
IMG001415.jpeg,5120000,163398.5,3.19,Malignant (Ác tính)
IMG000891.jpeg,2362370,7369.5,0.31,Benign (Lành tính)
IMG001265.jpeg,4342224,10046.0,0.23,Benign (Lành tính)
IMG000495.jpeg,3746800,816.0,0.02,Benign (Lành tính)
IMG001391.jpeg,1646008,245706.0,14.93,Benign (Lành tính)
IMG001727.jpeg,176102,3228.0,1.83,Malignant (Ác tính)
IMG000302.jpeg,2712960,1749.0,0.06,Benign (Lành tính)
IMG000514.jpeg,1477745,187065.5,12.66,Benign (Lành tính)
IMG001407.jpeg,210900,4538.0,2.15,Benign (Lành tính)
IMG000033.jpeg,4977234,74387.0,1.49,Malignant (Ác tính)
IMG000428.jpeg,3803376,17691.5,0.47,Benign (Lành tính)
IMG000960.jpeg,2102460,6477.0,0.31,Benign (Lành tính)
IMG001114.jpeg,3041536,3924.0,0.13,Benign (Lành tính)
IMG000013.jpeg,11314560,181660.0,1.61,Malignant (Ác tính)
IMG001855.jpeg,539648,8773.5,1.63,Benign (Lành tính)
IMG001836.jpeg,921600,2420.5,0.26,Benign (Lành tính)
IMG000995.jpeg,3703224,159354.0,4.3,Benign (Lành tính)
IMG001806.jpeg,1196400,21741.5,1.82,Benign (Lành tính)
IMG000345.jpeg,6576512,11796.5,0.18,Benign (Lành tính)
IMG000872.jpeg,5995560,16594.5,0.28,Benign (Lành tính)
IMG000268.jpeg,5158500,6595.0,0.13,Benign (Lành tính)
IMG000697.jpeg,9406080,21382.5,0.23,Benign (Lành tính)
IMG001299.jpeg,2378717,1131.5,0.05,Benign (Lành tính)
IMG001833.jpeg,388469,20298.5,5.23,Benign (Lành tính)
IMG000938.jpeg,3066588,106321.5,3.47,Benign (Lành tính)
IMG000855.jpeg,3703224,5476.0,0.15,Benign (Lành tính)
IMG001611.jpeg,5590760,48937.0,0.88,Benign (Lành tính)
IMG000339.jpeg,1503996,43364.0,2.88,Benign (Lành tính)
IMG000713.jpeg,2597520,594.5,0.02,Benign (Lành tính)
IMG001466.jpeg,6062355,65362.5,1.08,Benign (Lành tính)
IMG001039.jpeg,4142304,1054.0,0.03,Benign (Lành tính)
IMG001859.jpeg,860160,8265.0,0.96,Benign (Lành tính)
IMG000390.jpeg,5592528,18335.5,0.33,Benign (Lành tính)
IMG000529.jpeg,4053492,6486.5,0.16,Benign (Lành tính)
IMG000844.jpeg,5566050,75775.0,1.36,Benign (Lành tính)
IMG000908.jpeg,3799810,9810.0,0.26,Benign (Lành tính)
IMG001636.jpeg,631536,13509.5,2.14,Benign (Lành tính)
IMG001522.jpeg,952929,8654.5,0.91,Benign (Lành tính)
IMG000408.jpeg,6787845,416.5,0.01,Benign (Lành tính)
IMG000887.jpeg,3726726,4062.0,0.11,Benign (Lành tính)
IMG000271.jpeg,3030827,2046.5,0.07,Benign (Lành tính)
IMG001339.jpeg,3796752,4753.5,0.13,Benign (Lành tính)
IMG001209.jpeg,1756704,122708.5,6.99,Benign (Lành tính)
IMG000562.jpeg,7774464,19782.5,0.25,Benign (Lành tính)
IMG000239.jpeg,7774464,14800.5,0.19,Benign (Lành tính)
IMG000400.jpeg,4631560,721287.5,15.57,Benign (Lành tính)
IMG000273.jpeg,5749296,80778.0,1.41,Benign (Lành tính)
IMG001843.jpeg,1489500,11650.5,0.78,Benign (Lành tính)
IMG001147.jpeg,3724880,7351.5,0.2,Benign (Lành tính)
IMG000721.jpeg,5918464,27906.5,0.47,Benign (Lành tính)
IMG001690.jpeg,393179,58984.5,15.0,Malignant (Ác tính)
IMG000368.jpeg,6764800,1896.5,0.03,Benign (Lành tính)
IMG000907.jpeg,3914190,3838.5,0.1,Benign (Lành tính)
IMG000757.jpeg,5540058,181631.0,3.28,Benign (Lành tính)
IMG001739.jpeg,262775,15578.5,5.93,Benign (Lành tính)
IMG000933.jpeg,2552523,2039.0,0.08,Benign (Lành tính)
IMG000996.jpeg,6388992,1009.0,0.02,Benign (Lành tính)
IMG001816.jpeg,1196032,36460.5,3.05,Malignant (Ác tính)
IMG000006.jpeg,5627824,806443.0,14.33,Malignant (Ác tính)
IMG001288.jpeg,6864026,76449.0,1.11,Benign (Lành tính)
IMG001680.jpeg,944400,18210.5,1.93,Benign (Lành tính)
IMG000240.jpeg,7774464,34367.0,0.44,Benign (Lành tính)
IMG000029.jpeg,7774464,240541.0,3.09,Malignant (Ác tính)
IMG001467.jpeg,597980,1724.5,0.29,Benign (Lành tính)
IMG000254.jpeg,4519008,1512.0,0.03,Benign (Lành tính)
IMG001014.jpeg,3276170,45604.5,1.39,Benign (Lành tính)
IMG000576.jpeg,5424248,18564.5,0.34,Benign (Lành tính)
IMG001289.jpeg,4946292,42899.0,0.87,Benign (Lành tính)
IMG001088.jpeg,4530288,44103.5,0.97,Benign (Lành tính)
IMG000023.jpeg,5265488,227162.5,4.31,Benign (Lành tính)
IMG000950.jpeg,6586580,41903.5,0.64,Benign (Lành tính)
IMG001371.jpeg,3599360,57576.0,1.6,Benign (Lành tính)
IMG000584.jpeg,7528272,19799.0,0.26,Benign (Lành tính)
IMG000352.jpeg,4091300,2044.5,0.05,Benign (Lành tính)
IMG001377.jpeg,2204264,228900.5,10.38,Malignant (Ác tính)
IMG001789.jpeg,1106250,1806.5,0.16,Benign (Lành tính)
IMG001747.jpeg,1189888,9473.0,0.8,Benign (Lành tính)
IMG000385.jpeg,7650513,2199.0,0.03,Benign (Lành tính)
IMG000918.jpeg,6512704,3164.0,0.05,Benign (Lành tính)
IMG000492.jpeg,6273341,10837.5,0.17,Benign (Lành tính)
IMG001215.jpeg,6708992,346400.5,5.16,Benign (Lành tính)
IMG000283.jpeg,6868320,972.0,0.01,Benign (Lành tính)
IMG000178.jpeg,435130,8922.5,2.05,Malignant (Ác tính)
IMG001389.jpeg,204120,8773.5,4.3,Benign (Lành tính)
IMG000452.jpeg,3179442,47528.5,1.49,Benign (Lành tính)
IMG001266.jpeg,4345152,11749.5,0.27,Benign (Lành tính)
IMG000293.jpeg,3460000,761.0,0.02,Benign (Lành tính)
IMG000418.jpeg,6518800,23461.0,0.36,Benign (Lành tính)
