"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn10285147","DET0000801_avg.nii.gz","1","application/gzip","160538","3324839","1502374962829","3324839","1502374962829","syn10285054","https://www.synapse.org/#!Synapse:syn10285147.1","6810e30ccc1e26ecf8e52bbf9bcecebc"
"syn10285145","DET0002601_avg.nii.gz","1","application/gzip","188012","3324839","1502374961362","3324839","1502374961362","syn10285054","https://www.synapse.org/#!Synapse:syn10285145.1","00352bd8d2335816b44ca2ae16d0482a"
"syn10285177","DET0003801_avg.nii.gz","1","application/gzip","199274","3324839","1502374993745","3324839","1502374993745","syn10285054","https://www.synapse.org/#!Synapse:syn10285177.1","13170ad35a52694cf79c12f4382c444b"
"syn10285152","DET0000101_avg.nii.gz","1","application/gzip","256142","3324839","1502374967983","3324839","1502374967983","syn10285054","https://www.synapse.org/#!Synapse:syn10285152.1","5a7988f965fb53ee743c3ade9111aa0d"
"syn10285165","DET0001601_avg.nii.gz","1","application/gzip","265192","3324839","1502374980148","3324839","1502374980149","syn10285054","https://www.synapse.org/#!Synapse:syn10285165.1","7fc3592c51cb966fd38fad364524e3e8"
"syn10285162","DET0001701_avg.nii.gz","1","application/gzip","349978","3324839","1502374978066","3324839","1502374978066","syn10285054","https://www.synapse.org/#!Synapse:syn10285162.1","b22622c37a0766fd24cc95248893c741"
"syn10285139","DET0002401_avg.nii.gz","1","application/gzip","368362","3324839","1502374956261","3324839","1502374956261","syn10285054","https://www.synapse.org/#!Synapse:syn10285139.1","c980cff2aca10987c3155677d92785b1"
"syn10285066","DET0005101_avg.nii.gz","1","application/gzip","373771","3324839","1502374857078","3324839","1502374857078","syn10285054","https://www.synapse.org/#!Synapse:syn10285066.1","00920ae5a17629f048c64d907285ff90"
"syn10285154","DET0000201_avg.nii.gz","1","application/gzip","378159","3324839","1502374969419","3324839","1502374969419","syn10285054","https://www.synapse.org/#!Synapse:syn10285154.1","56424b207cd8301a6a6b0b0d18145b43"
"syn10285175","DET0004101_avg.nii.gz","1","application/gzip","385019","3324839","1502374991727","3324839","1502374991727","syn10285054","https://www.synapse.org/#!Synapse:syn10285175.1","3a2ff177355770774b392aee609fb21c"
"syn10285183","DET0001101_avg.nii.gz","1","application/gzip","386066","3324839","1502375003443","3324839","1502375003443","syn10285054","https://www.synapse.org/#!Synapse:syn10285183.1","db4381710a427f18eb2f995edd034472"
"syn10285141","DET0002501_avg.nii.gz","1","application/gzip","393768","3324839","1502374957823","3324839","1502374957823","syn10285054","https://www.synapse.org/#!Synapse:syn10285141.1","8b12a4db19613055e63a72542d799e96"
"syn10285194","DET0003601_avg.nii.gz","1","application/gzip","394405","3324839","1502375014972","3324839","1502375014972","syn10285054","https://www.synapse.org/#!Synapse:syn10285194.1","d1ae6a787a9cdca339b9fe11e081c063"
"syn10285065","DET0005001_avg.nii.gz","1","application/gzip","395013","3324839","1502374854742","3324839","1502374854742","syn10285054","https://www.synapse.org/#!Synapse:syn10285065.1","453d7d4c630d0600fa30a2d909e443d5"
"syn10285158","DET0001401_avg.nii.gz","1","application/gzip","398750","3324839","1502374973209","3324839","1502374973209","syn10285054","https://www.synapse.org/#!Synapse:syn10285158.1","c5ab7e2e05a284527ac7fd92c04b2bee"
"syn10285192","DET0001801_avg.nii.gz","1","application/gzip","399758","3324839","1502375012743","3324839","1502375012743","syn10285054","https://www.synapse.org/#!Synapse:syn10285192.1","4c79d7a573eb2d1f4bd988f2ae9592d1"
"syn10285070","DET0005401_avg.nii.gz","1","application/gzip","411607","3324839","1502374865399","3324839","1502374865399","syn10285054","https://www.synapse.org/#!Synapse:syn10285070.1","3514d7d9a1cdb6d88830a96eb15512a4"
"syn10285173","DET0001201_avg.nii.gz","1","application/gzip","417486","3324839","1502374989800","3324839","1502374989800","syn10285054","https://www.synapse.org/#!Synapse:syn10285173.1","f7c04fee5513b35daba7697d3195a639"
"syn10285064","DET0005201_avg.nii.gz","1","application/gzip","424342","3324839","1502374852357","3324839","1502374852357","syn10285054","https://www.synapse.org/#!Synapse:syn10285064.1","1627a7e5d8b14e8c3cfc35e7e17ca6cf"
"syn10285169","DET0001301_avg.nii.gz","1","application/gzip","437738","3324839","1502374985409","3324839","1502374985409","syn10285054","https://www.synapse.org/#!Synapse:syn10285169.1","cd16831371d7165a01e1c943318c2c20"
"syn10285107","DET0004901_avg.nii.gz","1","application/gzip","449609","3324839","1502374923167","3324839","1502374923167","syn10285054","https://www.synapse.org/#!Synapse:syn10285107.1","9627bc434953633cf580906b2e8245a9"
"syn10285077","DET0005601_avg.nii.gz","1","application/gzip","470446","3324839","1502374880352","3324839","1502374880352","syn10285054","https://www.synapse.org/#!Synapse:syn10285077.1","5dd963218f8d1a2487af064a085b6fac"
"syn10285143","DET0002701_avg.nii.gz","1","application/gzip","475912","3324839","1502374959606","3324839","1502374959606","syn10285054","https://www.synapse.org/#!Synapse:syn10285143.1","c4f9820c0d6ff1c9a37e1243c3b6306b"
"syn10285083","DET0004601_avg.nii.gz","1","application/gzip","482762","3324839","1502374889288","3324839","1502374889288","syn10285054","https://www.synapse.org/#!Synapse:syn10285083.1","105f0c53eca281f8ba4acf618862bd2f"
"syn10285081","DET0004701_avg.nii.gz","1","application/gzip","483776","3324839","1502374887009","3324839","1502374887009","syn10285054","https://www.synapse.org/#!Synapse:syn10285081.1","7a1af23f45093e160f0c7d7274daf8b5"
"syn10285181","DET0004201_avg.nii.gz","1","application/gzip","500636","3324839","1502375001517","3324839","1502375001517","syn10285054","https://www.synapse.org/#!Synapse:syn10285181.1","01e43087d54ae4154d083a94642afc31"
"syn10285149","DET0002001_avg.nii.gz","1","application/gzip","521634","3324839","1502374964843","3324839","1502374964843","syn10285054","https://www.synapse.org/#!Synapse:syn10285149.1","2890d69c42fc03ed500cdc5bbb9e3cf6"
"syn10285179","DET0004301_avg.nii.gz","1","application/gzip","528236","3324839","1502374997138","3324839","1502374997138","syn10285054","https://www.synapse.org/#!Synapse:syn10285179.1","0df20a21e92aa04bffc6cf80a80f7bcf"
"syn10285075","DET0005701_avg.nii.gz","1","application/gzip","541981","3324839","1502374877484","3324839","1502374877484","syn10285054","https://www.synapse.org/#!Synapse:syn10285075.1","734ff7ebdf3c3b5756e3faffe95e1610"
"syn10285109","DET0004801_avg.nii.gz","1","application/gzip","550942","3324839","1502374925020","3324839","1502374925020","syn10285054","https://www.synapse.org/#!Synapse:syn10285109.1","bdd56019251aefb8e52a6fe9d26c78d9"
"syn10285171","DET0004001_avg.nii.gz","1","application/gzip","577180","3324839","1502374987437","3324839","1502374987437","syn10285054","https://www.synapse.org/#!Synapse:syn10285171.1","98c566e2769a8682e6da54bfd713e5d4"
"syn10285156","DET0002801_avg.nii.gz","1","application/gzip","588183","3324839","1502374971372","3324839","1502374971372","syn10285054","https://www.synapse.org/#!Synapse:syn10285156.1","9cec4bccddc73db332f2150a85194dae"
"syn10285160","DET0001501_avg.nii.gz","1","application/gzip","591511","3324839","1502374975146","3324839","1502374975146","syn10285054","https://www.synapse.org/#!Synapse:syn10285160.1","7790d273d4e0d4176a1f99f55ddb6698"
"syn10285167","DET0003901_avg.nii.gz","1","application/gzip","605665","3324839","1502374983287","3324839","1502374983287","syn10285054","https://www.synapse.org/#!Synapse:syn10285167.1","4979cfcd9929306227233da39c858ca0"
"syn10285085","DET0004401_avg.nii.gz","1","application/gzip","608068","3324839","1502374894097","3324839","1502374894097","syn10285054","https://www.synapse.org/#!Synapse:syn10285085.1","d9d21f505d02bb70167a72501346431d"
"syn10285186","DET0003101_avg.nii.gz","1","application/gzip","1512885","3324839","1502375005568","3324839","1502375005568","syn10285054","https://www.synapse.org/#!Synapse:syn10285186.1","ae338e159daa82c6da118c2903dd5b0c"
"syn10285188","DET0003301_avg.nii.gz","1","application/gzip","1541574","3324839","1502375007641","3324839","1502375007641","syn10285054","https://www.synapse.org/#!Synapse:syn10285188.1","0ca514486e30504fc4c69063d2fdd358"
"syn10285200","DET0003501_avg.nii.gz","1","application/gzip","1589883","3324839","1502375020928","3324839","1502375020928","syn10285054","https://www.synapse.org/#!Synapse:syn10285200.1","a0fa1d29b8df0338d1ba5ee923ec480f"
"syn10285197","DET0003401_avg.nii.gz","1","application/gzip","1741319","3324839","1502375018127","3324839","1502375018127","syn10285054","https://www.synapse.org/#!Synapse:syn10285197.1","e30ada78b5f02ef29aff7fa30e57a9f3"
"syn10285190","DET0003201_avg.nii.gz","1","application/gzip","2089979","3324839","1502375009348","3324839","1502375009348","syn10285054","https://www.synapse.org/#!Synapse:syn10285190.1","9f39745724ed01242c72988bbca38950"
